"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"50",22,6,9,7,8,3,7,4,6,6,5,9,3,2,3,2,7,1,2,1,6,8,3,6,2,3,1,0,7,2
"51",8,9,7,2,2,3,4,14,3,5,2,4,5,5,0,4,2,5,3,1,0,5,0,2,5,1,1,0,3,3
"52",10,4,8,2,4,2,4,2,4,5,1,5,5,2,1,5,2,7,7,3,2,2,2,1,3,2,0,0,2,1
"53",12,10,11,3,7,3,7,12,8,4,1,7,2,0,1,3,1,4,8,2,2,4,6,3,13,1,1,0,1,5
"54",36,32,37,17,16,14,10,23,32,11,6,11,12,4,2,7,2,11,14,1,11,20,14,8,14,9,2,3,6,7
"55",70,38,49,33,25,46,24,19,34,21,18,16,14,9,7,10,14,22,38,12,12,31,14,15,23,7,6,2,6,16
"56",128,57,55,26,41,41,31,21,51,15,22,15,22,23,15,26,22,38,39,17,30,37,17,20,26,9,5,1,11,26
"57",116,81,60,47,43,53,40,23,78,33,40,32,26,16,11,28,23,32,44,21,21,45,25,25,25,26,13,4,17,19
"58",147,100,84,48,69,53,43,36,71,35,29,24,24,21,19,17,27,49,54,32,34,39,52,31,39,10,35,9,28,31
"59",157,71,71,76,56,55,45,49,65,42,36,38,31,25,15,30,18,34,50,17,18,36,40,51,19,13,22,6,29,22
"60",127,71,95,101,38,68,43,44,79,33,24,29,50,44,12,22,14,24,45,30,29,38,27,34,26,20,24,9,38,13
"61",129,75,106,106,50,66,54,37,67,35,27,33,42,24,21,23,24,39,60,18,41,39,42,39,49,11,26,12,36,24
"62",119,68,99,104,58,71,61,43,58,57,30,21,38,21,18,23,12,38,73,32,45,41,38,50,29,19,24,17,43,30
"63",127,60,105,95,57,81,48,39,67,41,32,30,34,24,16,19,25,40,58,25,46,42,42,28,23,15,15,11,36,23
"64",132,68,93,94,45,61,51,31,57,44,38,29,19,29,29,20,18,31,39,16,30,38,43,39,31,12,27,13,34,17
"65",109,82,74,86,55,64,57,46,49,36,24,19,31,21,22,20,16,38,48,17,50,44,26,45,38,20,28,18,20,19
"66",97,67,79,61,42,78,47,30,50,37,29,29,21,28,12,25,15,44,43,23,39,45,30,56,40,14,29,18,22,20
"67",141,106,111,82,57,74,58,48,58,60,30,42,41,15,13,19,37,51,56,34,28,35,40,89,44,33,35,9,26,15
"68",168,95,142,126,88,79,80,56,96,47,54,50,36,44,25,40,29,63,69,40,51,56,44,109,56,31,27,15,28,31
"69",196,145,176,131,107,97,82,58,104,75,57,77,50,40,38,63,33,73,82,31,42,67,56,142,64,32,48,12,25,39
"70",217,119,146,104,95,80,93,54,100,76,63,53,42,23,34,60,29,82,73,39,52,56,33,141,47,34,39,27,27,38
"71",136,79,85,74,60,50,53,33,64,55,30,38,23,8,35,37,22,43,48,20,31,46,31,82,32,18,29,17,31,18
"72",73,26,29,46,15,16,24,30,31,13,30,23,34,8,6,28,9,13,23,21,6,17,10,21,13,3,5,2,14,29
"73",37,12,18,14,5,7,11,8,19,11,8,14,11,3,4,6,1,9,4,9,4,5,8,8,9,3,5,1,7,12
"74",13,2,12,8,9,0,2,7,7,3,2,5,3,0,1,6,1,6,3,1,2,4,3,9,4,1,1,0,9,5
"75",17,5,11,9,9,3,3,16,6,3,2,3,3,0,1,2,3,3,7,2,2,1,1,3,4,2,1,0,6,7
"76",6,8,6,6,3,2,4,7,14,0,4,10,3,2,3,2,2,8,2,2,1,1,1,2,2,0,2,1,2,7
"77",13,4,9,8,4,5,7,9,8,3,5,4,0,1,1,4,2,2,3,2,10,2,4,5,1,2,0,0,2,7
"78",36,24,23,21,17,10,16,15,24,17,13,8,8,2,6,9,8,11,6,7,18,3,6,15,14,5,7,3,4,14
"79",59,55,44,21,26,45,26,24,31,20,8,28,11,7,10,22,16,17,27,12,12,12,18,24,9,4,8,4,6,23
"80",93,39,77,32,35,22,24,22,50,25,29,22,14,10,8,20,16,22,24,21,10,15,16,30,22,4,7,1,16,22
"81",118,58,75,30,52,31,58,19,38,35,27,17,17,11,18,24,16,27,38,25,22,32,19,34,23,8,13,16,15,39
"82",128,54,86,44,65,47,51,32,49,45,28,21,28,17,9,30,18,34,34,29,30,35,35,45,29,22,18,8,23,42
"83",144,67,84,43,63,39,41,29,47,39,39,25,27,19,16,25,22,27,32,27,25,15,31,42,23,13,13,15,25,24
"84",117,68,74,66,39,52,48,27,49,25,44,42,27,36,17,25,19,18,17,23,4,33,34,46,34,24,20,24,29,42
"85",151,60,84,63,46,45,48,36,53,30,25,34,38,42,21,32,16,23,29,36,12,23,24,47,34,13,33,31,16,30
"86",115,74,89,59,62,56,48,33,51,41,48,31,37,44,18,27,22,29,27,21,16,19,23,33,34,16,21,27,24,43
"87",118,79,89,63,68,50,62,45,63,37,37,33,32,28,31,27,27,35,35,32,15,33,33,46,27,17,32,16,13,32
"88",150,99,99,51,48,63,48,29,47,44,31,40,27,51,27,19,20,29,48,20,24,34,31,35,28,14,28,18,26,26
"89",139,67,55,48,36,45,50,27,40,33,38,39,27,24,24,15,20,30,24,34,13,19,22,35,30,21,25,15,24,28
"90",109,86,82,55,52,54,49,29,47,45,33,33,25,21,23,22,23,34,28,20,20,15,26,35,23,13,31,24,19,40
"91",139,122,119,66,59,61,59,45,65,50,29,35,44,39,35,30,40,34,38,30,22,39,30,49,45,23,27,21,36,43
"92",174,139,114,78,69,81,74,45,80,79,38,44,38,54,58,53,48,50,50,33,37,29,37,62,49,22,49,37,63,37
"93",230,165,144,78,111,111,91,54,91,65,57,79,58,30,49,39,59,61,71,52,27,37,57,80,61,33,67,37,47,65
"94",219,139,125,78,86,97,77,59,87,61,68,71,58,22,45,61,55,55,87,52,49,54,47,71,64,31,23,50,25,64
"95",125,85,71,49,49,58,54,37,58,41,44,41,29,18,20,41,41,40,38,60,31,30,23,58,30,23,16,22,22,46
"96",68,21,31,14,25,38,21,25,33,21,27,19,19,4,18,14,19,6,9,19,13,19,13,34,19,12,9,7,15,30
"97",30,10,11,10,17,5,7,15,10,5,11,10,13,2,8,10,12,8,7,6,4,8,12,9,6,1,4,2,19,14
"98",28,5,9,7,4,2,6,6,4,3,3,3,3,2,2,2,5,6,3,0,0,4,1,5,5,2,1,1,4,7
