"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"50",9,0,7,2,0,3,3,2,1,0,3,3,7,3,4,4,2,1,4,5,3,2,4,3,2,0,1,5,10,0
"51",8,2,5,1,3,3,0,2,0,2,2,5,3,5,1,1,1,0,3,1,0,3,2,5,2,0,1,1,6,1
"52",2,1,2,2,2,3,2,1,3,0,1,2,0,1,0,5,0,0,1,0,0,0,0,0,0,1,5,4,8,2
"53",5,2,2,5,2,3,3,4,4,3,2,3,4,1,1,7,1,4,1,2,1,3,1,4,2,0,2,3,12,2
"54",8,5,7,3,10,16,3,4,9,6,1,4,4,4,5,4,4,3,4,5,2,10,2,2,3,0,3,7,41,6
"55",27,4,16,10,7,9,10,11,12,13,7,15,10,11,7,25,12,8,12,5,2,13,4,10,11,5,15,9,65,16
"56",41,24,10,11,9,17,11,16,18,13,12,13,21,7,15,29,14,8,19,12,9,13,14,20,16,6,11,8,27,28
"57",42,15,20,15,16,22,12,22,21,25,15,25,29,17,10,27,17,10,14,11,8,9,20,24,13,12,17,5,33,32
"58",49,18,20,23,17,26,20,31,21,13,23,28,33,20,24,29,31,19,17,8,23,21,18,13,14,17,18,14,27,33
"59",56,16,26,16,14,16,11,35,34,17,22,21,29,17,13,35,25,18,15,24,13,11,21,20,14,9,18,20,38,28
"60",47,21,17,19,15,25,17,31,21,22,21,32,21,19,24,44,22,27,21,14,17,10,22,7,16,24,26,14,39,36
"61",69,26,17,32,13,24,21,46,18,18,23,41,24,12,21,56,28,16,22,16,16,16,27,10,23,23,35,12,43,43
"62",68,22,29,24,17,25,15,27,21,32,34,32,23,16,20,36,25,21,19,29,20,21,20,16,15,23,28,19,44,35
"63",56,28,33,18,14,22,26,33,19,22,21,32,27,8,16,37,21,16,22,22,19,9,21,14,24,18,31,14,42,39
"64",54,34,31,30,17,23,10,46,21,20,20,23,18,13,13,27,22,19,17,20,18,11,21,19,11,15,36,10,20,39
"65",40,18,19,20,15,24,9,38,22,16,13,27,26,12,16,24,21,14,23,12,11,19,15,10,17,10,25,13,32,32
"66",45,32,24,19,21,22,11,28,20,21,13,32,34,23,15,22,28,17,14,17,18,15,15,14,16,8,24,19,29,43
"67",59,29,35,22,30,20,19,59,28,26,39,32,34,25,25,26,11,20,23,20,18,21,17,14,23,11,35,15,40,47
"68",69,39,40,29,25,26,15,62,28,28,25,38,27,30,18,34,24,19,25,36,23,24,15,17,23,12,53,26,43,52
"69",67,43,51,36,37,26,24,56,40,51,58,57,33,28,21,66,26,25,43,52,39,19,26,35,31,11,80,33,58,78
"70",89,37,45,37,33,26,30,56,51,31,49,44,34,36,22,62,25,17,29,38,38,33,35,17,32,22,70,22,46,80
"71",82,30,36,40,16,39,19,23,24,32,26,24,25,24,19,52,14,13,17,14,24,20,39,13,41,13,38,16,41,50
"72",37,5,27,19,7,21,4,9,10,8,16,12,16,8,13,18,9,8,9,3,13,4,13,15,18,15,27,13,3,12
"73",9,4,17,5,2,8,1,9,12,6,3,9,2,2,5,10,2,5,6,3,4,5,8,1,6,1,8,5,1,10
"74",5,1,4,5,2,1,4,2,2,4,2,3,3,2,6,5,1,1,1,3,3,1,2,3,6,0,5,1,3,0
"75",4,1,3,1,2,1,1,0,2,1,1,1,1,2,0,3,1,1,3,0,1,2,2,2,2,2,3,0,4,1
"76",2,1,2,3,1,2,0,2,2,4,0,0,4,2,3,0,0,1,2,0,0,0,0,1,0,2,6,5,1,0
"77",4,2,3,1,3,2,6,3,2,4,0,4,2,4,4,3,1,1,4,1,2,0,1,3,1,0,3,2,0,1
"78",17,7,10,4,7,5,4,11,10,9,2,5,5,6,2,17,3,6,5,6,3,0,6,10,2,2,19,2,3,7
"79",24,8,15,8,10,19,19,6,13,10,8,13,6,6,15,16,12,10,8,9,3,5,6,12,9,7,20,6,7,10
"80",42,20,14,11,17,16,32,10,16,12,16,22,20,10,18,23,6,22,6,8,4,13,10,13,18,10,18,9,13,14
"81",39,20,28,27,26,20,41,11,23,15,17,20,28,16,20,30,15,16,27,20,14,14,14,12,14,7,30,11,7,24
"82",49,24,38,22,39,26,36,26,26,18,42,20,24,18,31,38,20,13,23,15,20,8,22,14,20,15,31,18,19,30
"83",30,25,33,32,27,21,25,23,20,7,28,33,29,11,23,27,25,17,23,16,13,6,24,12,15,11,25,21,17,18
"84",56,26,28,32,20,35,28,34,30,25,29,20,28,22,21,28,20,20,23,15,17,19,25,26,17,23,18,10,17,29
"85",36,21,28,19,33,21,44,32,24,24,24,33,23,12,16,29,20,26,20,17,19,19,24,22,20,18,30,15,16,42
"86",51,29,47,22,28,19,34,21,24,24,25,28,18,15,19,22,23,16,9,24,29,14,16,31,22,21,28,12,17,18
"87",52,26,34,31,30,23,32,23,32,2,24,18,20,15,22,34,26,24,17,25,21,16,29,18,16,23,31,17,8,34
"88",67,17,38,24,21,18,33,25,31,30,17,17,21,20,24,27,14,19,16,22,21,8,29,18,27,11,26,10,17,28
"89",55,16,35,16,28,19,29,20,21,29,17,20,12,18,22,24,17,16,23,30,27,21,19,15,12,17,22,16,12,13
"90",50,24,27,20,24,17,25,29,29,26,27,27,19,18,18,18,19,18,17,17,28,8,16,19,6,15,24,13,13,20
"91",69,27,32,32,29,22,53,33,38,44,26,24,24,25,30,34,25,28,28,20,10,28,25,30,22,15,37,20,13,28
"92",97,39,47,33,44,31,45,32,40,32,44,36,27,33,31,49,32,27,34,35,23,20,28,45,19,16,31,17,14,31
"93",76,39,61,39,43,32,63,52,43,35,49,34,40,48,32,45,27,28,37,46,50,26,29,29,22,20,40,25,29,31
"94",94,32,43,44,37,40,52,51,28,37,57,47,43,33,22,48,41,32,37,32,15,25,44,30,26,31,42,16,18,39
"95",57,17,35,47,17,33,30,27,26,27,32,22,17,12,22,35,26,10,25,18,17,20,22,22,23,22,30,23,6,28
"96",34,5,11,20,8,20,12,14,14,12,11,14,12,5,8,14,11,5,10,13,14,10,13,11,16,5,9,6,0,12
"97",12,6,10,5,4,15,4,8,6,2,6,7,8,4,6,5,2,3,4,6,4,2,3,3,2,4,6,4,1,3
"98",5,2,5,1,3,6,3,3,6,1,0,4,1,3,2,5,2,3,2,6,3,8,1,1,1,0,7,3,0,2
"99",3,4,4,1,1,3,6,0,2,4,2,0,1,1,1,2,0,2,6,1,1,1,4,2,3,1,5,2,1,1
"100",2,3,3,3,0,2,0,3,0,1,1,7,0,1,1,0,2,2,3,2,1,6,0,1,0,0,5,0,1,0
"101",7,7,12,4,5,3,5,5,8,5,1,3,0,1,2,4,3,2,2,0,0,1,0,5,1,1,2,2,0,1
"102",14,6,7,9,6,11,7,8,9,9,3,9,3,2,6,7,2,2,4,5,1,8,5,9,3,3,6,4,5,4
