"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"50",11,5,3,4,3,6,6,4,1,5,3,4,2,7,2,2,0,2,1,3,4,2,3,5,3,3,2,3,4,2
"51",7,3,6,4,4,4,2,1,4,3,3,3,1,5,2,6,1,2,1,0,1,4,4,3,1,2,0,7,3,2
"52",8,4,7,8,7,2,6,6,4,3,2,3,1,0,2,2,2,2,2,6,3,3,1,3,2,1,2,4,5,0
"53",10,2,7,8,9,2,3,8,3,3,6,2,2,1,2,2,0,6,4,3,1,6,5,3,3,1,1,4,1,4
"54",21,15,24,16,27,11,13,8,15,12,4,8,0,7,4,7,3,5,3,11,4,8,4,4,3,2,4,9,6,7
"55",28,12,31,16,32,16,15,12,19,28,16,17,4,12,16,8,5,8,10,15,10,17,8,15,12,7,4,14,13,11
"56",39,28,28,33,41,18,32,22,23,18,12,18,15,20,21,15,4,12,18,13,12,16,21,15,7,21,5,14,10,19
"57",53,35,58,42,29,37,39,34,44,18,20,21,22,23,17,21,6,11,19,12,21,21,16,15,25,19,16,22,20,17
"58",45,34,44,57,47,50,53,34,33,32,29,25,21,25,24,22,6,23,13,18,25,24,23,22,21,28,15,26,18,17
"59",72,40,39,44,42,42,44,51,34,40,39,15,17,22,25,32,4,22,16,15,24,19,19,22,17,41,17,19,16,27
"60",80,57,54,54,48,48,47,40,38,27,28,14,15,26,31,34,11,37,17,6,14,19,22,17,15,20,21,21,17,20
"61",66,67,52,80,52,33,43,53,44,39,31,21,26,24,35,25,9,28,14,12,18,33,25,12,31,37,21,17,11,26
"62",69,55,68,49,50,42,45,39,43,43,28,22,25,25,30,24,12,31,19,21,13,30,20,20,23,23,19,20,21,18
"63",73,47,54,45,55,51,39,37,50,30,29,17,25,24,42,21,7,34,17,16,18,28,24,23,23,28,23,28,18,16
"64",69,45,59,45,48,43,59,37,33,39,31,39,23,23,30,29,11,26,26,22,18,14,27,16,30,20,26,29,22,17
"65",87,47,39,53,43,51,41,29,36,20,35,32,19,17,40,17,7,21,16,21,12,23,26,17,25,22,13,14,15,19
"66",54,47,47,38,37,38,44,28,29,33,32,41,19,19,42,23,10,30,13,12,15,28,20,8,17,22,30,16,20,20
"67",77,59,68,50,48,39,58,48,40,45,28,44,25,32,51,22,8,36,17,37,16,25,28,20,27,27,24,22,17,26
"68",98,81,98,76,74,47,87,67,49,61,33,45,20,41,53,39,17,24,22,28,32,39,44,23,30,34,35,34,36,20
"69",127,90,142,78,100,52,76,63,53,66,59,118,47,41,61,66,29,41,26,31,37,55,39,24,30,37,42,48,32,41
"70",98,65,105,88,102,78,77,53,56,75,41,326,48,53,56,63,32,45,41,33,43,33,37,23,30,44,34,41,41,31
"71",79,47,50,60,37,53,54,42,28,34,36,72,27,44,34,24,10,32,31,17,30,33,44,15,21,32,26,28,47,21
"72",20,16,29,25,19,26,15,24,14,19,17,27,17,9,9,13,4,16,16,15,17,10,17,5,5,6,5,11,14,8
"73",14,11,17,6,6,11,9,14,9,7,8,11,10,9,5,3,3,11,5,6,12,0,2,2,7,5,2,3,9,2
"74",5,6,9,12,2,3,3,6,7,4,2,4,1,1,5,2,0,6,2,3,8,1,0,1,5,2,3,8,7,2
"75",5,1,7,4,3,2,4,6,4,1,0,6,2,4,5,1,0,8,0,3,5,4,2,0,1,2,2,5,6,0
"76",9,9,2,3,1,2,3,2,1,3,1,9,1,2,2,3,3,2,2,2,4,1,1,1,0,4,0,4,3,1
"77",7,5,6,5,6,1,8,4,5,6,3,9,1,7,2,4,0,0,4,6,1,4,3,5,4,2,1,7,1,3
"78",21,25,18,12,15,9,10,7,5,14,4,27,13,9,10,8,8,10,2,8,7,7,6,5,9,3,5,14,11,5
"79",35,24,31,16,22,14,18,21,9,19,11,32,6,10,12,7,8,8,6,8,19,13,4,7,11,10,6,14,11,9
"80",33,26,31,40,31,23,19,34,23,19,17,43,16,24,20,16,8,15,16,14,18,12,9,12,16,18,13,12,16,14
"81",72,36,42,46,35,33,38,25,25,19,17,57,24,13,11,15,13,10,21,21,20,15,22,9,10,19,25,25,14,21
"82",54,50,43,31,29,43,43,38,29,31,33,73,17,28,22,22,20,20,32,19,24,19,17,7,12,23,19,18,20,19
"83",54,58,51,31,40,33,42,31,30,22,27,77,21,24,34,17,11,25,20,20,26,16,20,13,21,18,22,13,9,28
"84",84,53,52,40,49,23,37,32,26,32,21,55,29,15,31,19,12,28,21,26,26,29,20,17,9,19,17,12,16,21
"85",85,56,55,39,53,35,28,49,41,30,22,74,28,22,52,34,15,23,28,18,27,11,19,10,39,16,18,29,18,21
"86",92,62,50,47,44,44,62,40,24,25,28,91,33,20,32,26,20,15,17,20,22,22,21,13,19,21,21,22,15,31
"87",84,66,40,54,46,51,57,42,42,30,32,65,31,35,29,20,16,15,16,28,17,18,13,11,22,24,23,19,16,37
"88",67,53,51,52,30,45,47,41,32,32,35,58,32,28,26,11,30,26,23,20,21,15,25,13,19,17,30,18,12,21
"89",59,55,48,40,34,40,48,51,26,37,31,63,29,16,24,22,22,30,22,27,21,17,25,11,25,14,7,27,12,20
"90",67,59,41,54,31,42,32,39,44,30,13,62,22,23,23,16,18,18,23,19,16,16,16,8,18,21,22,30,16,24
"91",92,62,62,46,45,33,53,54,42,59,31,74,29,23,42,36,23,25,26,24,18,38,24,24,35,19,28,30,16,33
"92",117,84,63,58,49,56,57,48,64,47,40,117,50,35,33,31,24,30,17,35,23,33,25,19,37,25,27,35,14,29
"93",137,77,85,78,78,64,77,71,71,51,33,36,45,67,40,33,43,34,26,48,33,57,39,26,45,28,37,45,34,37
"94",144,77,82,78,71,51,64,61,54,47,41,43,50,42,54,47,55,44,37,30,53,36,34,22,39,42,31,38,47,36
"95",55,48,49,72,43,38,38,61,47,37,38,18,34,39,16,37,24,33,31,31,36,34,32,8,30,21,28,24,40,27
"96",32,30,14,27,22,25,17,23,23,9,13,9,27,15,15,9,4,22,15,23,14,8,21,6,6,17,12,9,23,7
"97",15,9,7,13,9,7,7,16,10,2,6,6,12,9,3,1,1,5,1,4,15,5,7,5,1,8,7,6,6,5
"98",6,6,5,6,1,3,6,8,6,7,5,3,4,3,3,0,1,4,0,3,3,3,2,0,2,2,3,3,8,1
"99",6,3,2,5,1,2,2,5,4,2,3,0,5,2,1,1,2,2,2,5,6,4,4,1,6,3,3,3,1,1
"100",5,5,3,3,5,2,3,7,5,4,0,1,2,4,4,3,4,0,2,5,3,2,0,0,1,2,0,3,4,3
"101",13,14,6,1,7,4,3,1,6,4,5,3,1,5,4,6,3,3,2,3,0,2,1,2,3,2,3,3,5,1
"102",24,26,9,12,14,10,14,3,19,5,7,9,4,8,4,7,10,6,6,11,5,7,8,8,12,6,7,12,5,10
"103",33,30,34,17,8,11,21,16,17,16,4,9,10,9,7,13,15,16,18,11,8,10,18,13,10,7,5,17,19,11
"104",40,58,17,25,34,37,32,31,27,16,20,11,23,16,13,12,17,11,20,15,12,23,18,9,31,19,12,16,20,9
"105",67,55,29,32,35,36,43,34,31,18,22,16,48,36,18,23,20,16,17,17,18,15,16,17,25,15,13,16,17,25
"106",68,39,39,39,40,49,39,31,39,32,28,31,33,31,17,21,24,24,21,23,22,27,28,10,28,35,10,23,24,18
"107",90,41,43,48,47,37,37,32,34,30,28,26,49,23,17,22,22,13,50,14,20,15,14,10,31,22,14,18,21,19
"108",88,47,41,43,38,31,51,45,43,34,29,31,57,27,12,17,17,22,43,19,11,22,27,11,24,32,17,17,19,15
"109",93,62,42,56,56,38,46,30,48,23,34,27,40,42,24,22,20,24,48,36,16,25,29,22,26,24,32,13,16,30
"110",96,49,49,48,50,24,47,47,31,31,24,35,27,44,20,26,31,20,49,37,19,31,19,13,27,25,18,12,16,16
"111",109,48,74,53,55,28,46,49,39,38,24,23,33,29,19,27,31,21,49,28,19,29,28,17,19,25,22,12,22,23
"112",97,48,51,40,45,31,54,44,39,44,31,29,25,26,26,26,28,17,37,26,16,30,29,13,22,11,21,23,19,22
"113",63,48,44,38,43,34,31,36,22,24,20,27,31,24,21,22,16,29,29,25,22,16,19,16,29,15,18,14,15,18
